ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,comment
dimplex-opti-v-solo-electric-fireplace-vf2927l,Dimplex,Electric Fireplaces,VF2927L,Dimplex Opti-V Solo Electric Fireplace | VF2927L |,vf2927l,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-plumbing-kit-for-opti-myst-pro-built-in-electric-cassette-cdfiplumb-kit,Dimplex,Miscellaneous,CDFIPLUMB-KIT,Dimplex Plumbing Kit for Opti-Myst Pro Built In Electric Cassette | CDFIPLUMB-KIT |,cdfiplumb-kit,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-prism-34-inch-wall-mounted-electric-fireplace-blf3451,Dimplex,Electric Fireplaces,BLF3451,Dimplex Prism 34 Inch Wall Mounted Electric Fireplace | BLF3451 |,blf3451,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-prism-50-inch-wall-mounted-electric-fireplace-blf5051,Dimplex,Electric Fireplaces,BLF5051,Dimplex Prism 50 Inch Wall Mounted Electric Fireplace | BLF5051 |,blf5051,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-prism-74-inch-wall-mounted-electric-fireplace-blf7451,Dimplex,Electric Fireplaces,BLF7451,Dimplex Prism 74 Inch Wall Mounted Electric Fireplace | BLF7451 |,blf7451,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-synergy-50-inch-wall-mounted-electric-fireplace-blf50,Dimplex,Electric Fireplaces,BLF50,Dimplex Synergy 50 Inch Wall Mounted Electric Fireplace | BLF50 |,blf50,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-pipe-extension-3pvp12a,DuraVent,Venting Components,3PVP-12A,"DuraVent Pellet Vent Pro 3"" Diameter 12"" Pipe Extension | 3PVP-12A |",3pvp-12a,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-pipe-extension-4pvp12a,DuraVent,Venting Components,4PVP-12A,"DuraVent Pellet Vent Pro 4"" Diameter 12"" Pipe Extension | 4PVP-12A |",4pvp-12a,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-pipe-extension-black-3pvp12ab,DuraVent,Venting Components,3PVP-12AB,"DuraVent Pellet Vent Pro 3"" Diameter Black 12"" Pipe Extension | 3PVP-12AB |",3pvp-12ab,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-pipe-extension-black-4pvp12ab,DuraVent,Venting Components,4PVP-12AB,"DuraVent Pellet Vent Pro 4"" Diameter Black 12"" Pipe Extension | 4PVP-12AB |",4pvp-12ab,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-3pvp12,DuraVent,Venting Components,3PVP-12,"DuraVent Pellet Vent Pro 3"" Diameter 12"" Straight Pipe Length | 3PVP-12 |",3pvp-12,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-4pvp12,DuraVent,Venting Components,4PVP-12,"DuraVent Pellet Vent Pro 4"" Diameter 12"" Straight Pipe Length | 4PVP-12 |",4pvp-12,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-black-3pvp12b,DuraVent,Venting Components,3PVP-12B,"DuraVent Pellet Vent Pro 3"" Diameter Black 12"" Straight Pipe Length | 3PVP-12B |",3pvp-12b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-black-4pvp12b,DuraVent,Venting Components,4PVP-12B,"DuraVent Pellet Vent Pro 4"" Diameter Black 12"" Straight Pipe Length | 4PVP-12B |",4pvp-12b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-ss-3pvp12ss,DuraVent,Venting Components,3PVP-12SS,"DuraVent Pellet Vent Pro 3"" Diameter Stainless Steel 12"" Straight Pipe Length | 3PVP-12SS |",3pvp-12ss,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-12-straight-length-pipe-ss-4pvp12ss,DuraVent,Venting Components,4PVP-12SS,"DuraVent Pellet Vent Pro 4"" Diameter Stainless Steel 12"" Straight Pipe Length | 4PVP-12SS |",4pvp-12ss,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-18-pipe-extension-3pvp18a,DuraVent,Venting Components,3PVP-18A,"DuraVent Pellet Vent Pro 3"" Diameter 18"" Pipe Extension | 3PVP-18A |",3pvp-18a,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-18-pipe-extension-black-3pvp18ab,DuraVent,Venting Components,3PVP-18AB,"DuraVent Pellet Vent Pro 3"" Diameter Black 18"" Pipe Extension | 3PVP-18AB |",3pvp-18ab,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-23-galvanized-fresh-air-increaser-3pvpinc,DuraVent,Venting Components,3PVP-INC,"DuraVent Pellet Vent Pro 3"" Diameter 2""-3"" galvanized fresh air increaser | 3PVP-INC |",3pvp-inc,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-3pvp24,DuraVent,Venting Components,3PVP-24,"DuraVent Pellet Vent Pro 3"" Diameter 24"" Straight Pipe Length | 3PVP-24 |",3pvp-24,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-4pvp24,DuraVent,Venting Components,4PVP-24,"DuraVent Pellet Vent Pro 4"" Diameter 24"" Straight Pipe Length | 4PVP-24 |",4pvp-24,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-black-3pvp24b,DuraVent,Venting Components,3PVP-24B,"DuraVent Pellet Vent Pro 3"" Diameter Black 24"" Straight Pipe Length | 3PVP-24B |",3pvp-24b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-black-4pvp24b,DuraVent,Venting Components,4PVP-24B,"DuraVent Pellet Vent Pro 4"" Diameter Black 24"" Straight Pipe Length | 4PVP-24B |",4pvp-24b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-ss-3pvp24ss,DuraVent,Venting Components,3PVP-24SS,"DuraVent Pellet Vent Pro 3"" Diameter Stainless Steel 24"" Straight Pipe Length | 3PVP-24SS |",3pvp-24ss,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-24-straight-length-pipe-ss-4pvp24ss,DuraVent,Venting Components,4PVP-24SS,"DuraVent Pellet Vent Pro 4"" Diameter Stainless Steel 24"" Straight Pipe Length | 4PVP-24SS |",4pvp-24ss,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-4-pelletvent-pro-fresh-air-intake-kit-3pvpaik,DuraVent,Venting Components,3PVP-AIK,"DuraVent Pellet Vent Pro 3"" - 4"" Fresh Air Intake Kit | 3PVP-AIK |",3pvp-aik,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-diameter-18-length-pipe-3pvp18,DuraVent,Venting Components,3PVP-18,"DuraVent Pellet Vent Pro 3"" Diameter 18"" Length Pipe | 3PVP-18 |",3pvp-18,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-diameter-48-length-pipe-3pvp48,DuraVent,Venting Components,3PVP-48,"DuraVent Pellet Vent Pro 3"" Diameter 48"" Length Pipe | 3PVP-48 |",3pvp-48,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-diameter-adapter-tee-ravelli-3pvptadr,DuraVent,Venting Components,3PVP-TADR,"DuraVent Pellet Vent Pro 3"" Diameter Adapter Tee Ravelli | 3PVP-TADR |",3pvp-tadr,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-diameter-c-clamp-3pvpcc,DuraVent,Venting Components,3PVP-CC,"DuraVent Pellet Vent Pro 3"" Diameter C Clamp | 3PVP-CC |",3pvp-cc,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-diameter-replacement-gasket-3pvpga1,DuraVent,Venting Components,3PVP-GA1,"DuraVent Pellet Vent Pro 3"" Diameter Replacement Gasket | 3PVP-GA1 |",3pvp-ga1,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-pelletvent-pro-horizontal-kit-3pvpkha,DuraVent,Venting Components,3PVP-KHA,"DuraVent Pellet Vent Pro 3"" Horizontal Kit | 3PVP-KHA |",3pvp-kha,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-pelletvent-pro-vertical-kit-cathedral-3pvpkvb,DuraVent,Venting Components,3PVP-KVB,"DuraVent Pellet Vent Pro 3"" Vertical Kit - Cathedral | 3PVP-KVB |",3pvp-kvb,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-pelletvent-pro-vertical-kit-flat-ceiling-3pvpkva,DuraVent,Venting Components,3PVP-KVA,"DuraVent Pellet Vent Pro 3"" Vertical Kit - Flat Ceiling | 3PVP-KVA |",3pvp-kva,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-prairie-termination-cap-black-w-3-exhaust-vent-and-3-air-intake-3pvpvctb33,DuraVent,Venting Components,3PVP-VCTB33,"DuraVent Pellet Vent Pro 3"" Diameter Black Prairie Termination Cap Black w/3"" exhaust vent and 3"" air intake | 3PVP-VCTB33 |",3pvp-vctb33,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-prairie-termination-cap-stainless-w-3-exhaust-vent-and-3-air-intake-3pvpvct33,DuraVent,Venting Components,3PVP-VCT33,"DuraVent Pellet Vent Pro 3"" Diameter Stainless Steel Prairie Termination Cap Stainless w/3"" exhaust vent and 3"" air intake | 3PVP-VCT33 |",3pvp-vct33,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-pvp-appliance-adapter-ravelli-3pvpadr,DuraVent,Venting Components,3PVP-ADR,"DuraVent Pellet Vent Pro 3"" Diameter Appliance Adapter Ravelli | 3PVP-ADR |",3pvp-adr,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-replacement-gasket-3pvpga,DuraVent,Venting Components,3PVP-GA,"DuraVent Pellet Vent Pro 3"" Diameter Replacement Gasket | 3PVP-GA |",3pvp-ga,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-3-wall-thimble-air-intake-kit-3pvpwti,DuraVent,Venting Components,3PVP-WTI,"DuraVent Pellet Vent Pro 3"" Diameter 3"" Wall Thimble Air Intake KitWall Thimble Air Intake Kit | 3PVP-WTI |",3pvp-wti,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-36-straight-length-pipe-3pvp36,DuraVent,Venting Components,3PVP-36,"DuraVent Pellet Vent Pro 3"" Diameter 36"" Straight Pipe Length | 3PVP-36 |",3pvp-36,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-36-straight-length-pipe-4pvp36,DuraVent,Venting Components,4PVP-36,"DuraVent Pellet Vent Pro 4"" Diameter 36"" Straight Pipe Length | 4PVP-36 |",4pvp-36,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-36-straight-length-pipe-black-3pvp36b,DuraVent,Venting Components,3PVP-36B,"DuraVent Pellet Vent Pro 3"" Diameter Black 36"" Straight Pipe Length | 3PVP-36B |",3pvp-36b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-36-straight-length-pipe-black-4pvp36b,DuraVent,Venting Components,4PVP-36B,"DuraVent Pellet Vent Pro 4"" Diameter Black 36"" Straight Pipe Length | 4PVP-36B |",4pvp-36b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-diameter-18-length-pipe-4pvp18,DuraVent,Venting Components,4PVP-18,"DuraVent Pellet Vent Pro 4"" Diameter 18"" Length Pipe | 4PVP-18 |",4pvp-18,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-diameter-48-length-pipe-4pvp48,DuraVent,Venting Components,4PVP-48,"DuraVent Pellet Vent Pro 4"" Diameter 48"" Length Pipe | 4PVP-48 |",4pvp-48,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-diameter-48-length-pipe-black-4pvp48b,DuraVent,Venting Components,4PVP-48B,"DuraVent Pellet Vent Pro 4"" Diameter 48"" Length Pipe | 4PVP-48B |",4pvp-48b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-diameter-w-3-adapter-branch-3pvptadx41,DuraVent,Venting Components,3PVP-TADX41,"DuraVent Pellet Vent Pro 3"" Diameter Adapter Branch | 3PVP-TADX41 |",3pvp-tadx41,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-diameter-w-3-adapter-branch-black-3pvptadx4b1,DuraVent,Venting Components,3PVP-TADX4B1,"DuraVent Pellet Vent Pro 3"" Diameter Black Adapter Branch | 3PVP-TADX4B1 |",3pvp-tadx4b1,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-pelletvent-pro-fresh-air-intake-kit-4pvpaik,DuraVent,Venting Components,4PVP-AIK,"DuraVent Pellet Vent Pro 4"" Fresh Air Intake Kit | 4PVP-AIK |",4pvp-aik,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-pelletvent-pro-horizontal-kit-4pvpkha,DuraVent,Venting Components,4PVP-KHA,"DuraVent Pellet Vent Pro 4"" Horizontal Kit | 4PVP-KHA |",4pvp-kha,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-pelletvent-pro-vertical-kit-cathedral-4pvpkvb,DuraVent,Venting Components,4PVP-KVB,"DuraVent Pellet Vent Pro 4"" Vertical Kit - Cathedral | 4PVP-KVB |",4pvp-kvb,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-pelletvent-pro-vertical-kit-flat-ceiling-4pvpkva,DuraVent,Venting Components,4PVP-KVA,"DuraVent Pellet Vent Pro 4"" Vertical Kit - Flat Ceiling | 4PVP-KVA |",4pvp-kva,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-4-wall-thimble-air-intake-kit-4pvpwti,DuraVent,Venting Components,4PVP-WTI,"DuraVent Pellet Vent Pro 4"" Diameter 4"" Wall Thimble Air Intake KitWall Thimble Air Intake Kit | 4PVP-WTI |",4pvp-wti,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-45-elbow-black-3pvpe45b,DuraVent,Venting Components,3PVP-E45B,"DuraVent Pellet Vent Pro 3"" Diameter Black 45 Degree Elbow | 3PVP-E45B |",3pvp-e45b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-48-pipe-extension-3pvp48a,DuraVent,Venting Components,3PVP-48A,"DuraVent Pellet Vent Pro 3"" Diameter 48"" Pipe Extension | 3PVP-48A |",3pvp-48a,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-48-pipe-extension-black-3pvp48ab,DuraVent,Venting Components,3PVP-48AB,"DuraVent Pellet Vent Pro 3"" Diameter Black 48"" Pipe Extension | 3PVP-48AB |",3pvp-48ab,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-6-durablack-stovepipe-kit-6dbkksp,DuraVent,Venting Components,6DBK-KSP,"DuraVent DuraBlack 6"" DuraBlack Stovepipe Kit | 6DBK-KSP |",6dbk-ksp,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-6-straight-length-pipe-3pvp06,DuraVent,Venting Components,3PVP-06,"DuraVent Pellet Vent Pro 3"" Diameter 6"" Straight Pipe Length | 3PVP-06 |",3pvp-06,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-6-straight-length-pipe-4pvp06,DuraVent,Venting Components,4PVP-06,"DuraVent Pellet Vent Pro 4"" Diameter 6"" Straight Pipe Length | 4PVP-06 |",4pvp-06,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-6-straight-length-pipe-black-3pvp06b,DuraVent,Venting Components,3PVP-06B,"DuraVent Pellet Vent Pro 3"" Diameter Black 6"" Straight Pipe Length | 3PVP-06B |",3pvp-06b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-6-straight-length-pipe-black-4pvp06b,DuraVent,Venting Components,4PVP-06B,"DuraVent Pellet Vent Pro 4"" Diameter Black 6"" Straight Pipe Length | 4PVP-06B |",4pvp-06b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-60-flex-pipe-3pvp60f,DuraVent,Venting Components,3PVP-60F,"DuraVent Pellet Vent Pro 3"" Diameter 60"" Flex Pipe | 3PVP-60F |",3pvp-60f,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-60-straight-length-pipe-3pvp60,DuraVent,Venting Components,3PVP-60,"DuraVent Pellet Vent Pro 3"" Diameter 60"" Straight Pipe Length | 3PVP-60 |",3pvp-60,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-60-straight-length-pipe-4pvp60,DuraVent,Venting Components,4PVP-60,"DuraVent Pellet Vent Pro 4"" Diameter 60"" Straight Pipe Length | 4PVP-60 |",4pvp-60,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-60-straight-length-pipe-black-3pvp60b,DuraVent,Venting Components,3PVP-60B,"DuraVent Pellet Vent Pro 3"" Diameter Black 60"" Straight Pipe Length | 3PVP-60B |",3pvp-60b,1000x1000,FALSE,Not search Superior provided images because not Superior products
duravent-60-straight-length-pipe-black-4pvp60b,DuraVent,Venting Components,4PVP-60B,"DuraVent Pellet Vent Pro 4"" Diameter Black 60"" Straight Pipe Length | 4PVP-60B |",4pvp-60b,1000x1000,FALSE,Not search Superior provided images because not Superior products
